sno,candidate,constituency,party,criminal_case,education,total_assets,liabilities,actual_declared_movable,sum_all_movable,actual_declared_immovable,sum_all_immovable,all_candidate_links
1390,Binder Kaur,PATIALA,IND,0,Illiterate,"Rs 11,22,200 ~ 11 Lacs+",Rs 0 ~,"Rs 1,22,200","Rs 1,24,200","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9298
1391,Bindhu W/O Devarajan,PONNANI,IND,0,8th Pass,"Rs 17,54,106 ~ 17 Lacs+","Rs 4,00,000 ~ 4 Lacs+","Rs 5,26,930","Rs 2,76,930","Rs 12,27,176","Rs 12,47,176",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3116
1392,Bindu Kumari,KATIHAR,Samaj Shakti Party,0,10th Pass,"Rs 31,60,000",Nil,"Rs 1,60,000","Rs 1,70,000","Rs 30,00,000","Rs 30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2860
1393,Binita Deka,KOKRAJHAR (ST),Gana Suraksha Party,0,Graduate Professional,"Rs 92,09,000 ~ 92 Lacs+",Rs 0 ~,"Rs 29,09,000","Rs 29,09,000","Rs 63,00,000","Rs 48,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5257
1394,Binod Bihari Naik,KEONJHAR (ST),INC,0,Graduate Professional,"Rs 78,23,942 ~ 78 Lacs+",Rs 0 ~,"Rs 69,63,941.59","Rs 69,63,941.59","Rs 8,60,000","Rs 8,60,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7992
1395,Binod Gogoi,KAZIRANGA,IND,0,Graduate,"Rs 3,30,000",Nil,"Rs 3,30,000","Rs 3,30,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=261
1396,Binod Kumar Jena,JAJPUR (SC),Gana Suraksha Party,0,Others,"Rs 11,100 ~ 11 Thou+",Rs 0 ~,"Rs 11,100","Rs 11,100",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9609
1397,Binod Mallick,JALPAIGURI (SC),BSP,0,12th Pass,"Rs 14,57,532 ~ 14 Lacs+","Rs 2,80,000 ~ 2 Lacs+","Rs 4,57,532","Rs 4,59,532","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4
1398,Binod Oraon,RANCHI,Bahujan Mukti Party,0,12th Pass,"Rs 35,02,000","Rs 60,000","Rs 2,72,000","Rs 2,72,000","Rs 32,30,000","Rs 32,30,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8702
1399,Binod Yadav,NAWADA,IND,0,12th Pass,"Rs 2,05,44,561 ~ 2 Crore+","Rs 1,28,00,000 ~ 1 Crore+","Rs 1,30,44,561","Rs 71,36,158","Rs 75,00,000","Rs 75,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1692
1400,Binoy Krishna Chatterjee,KOLKATA UTTAR,IND,0,12th Pass,"Rs 1,01,88,219 ~ 1 Crore+",Rs 0 ~,"Rs 61,88,219","Rs 61,88,249","Rs 40,00,000","Rs 80,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9021
1401,Bipad Bhanjan Sarkar,NAGAON,IND,0,Graduate,"Rs 2,25,424",Nil,"Rs 2,25,424","Rs 2,25,424",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3051
1402,Bipin Bachubhai Shah,MUMBAI NORTH,Hindu Samaj Party,0,12th Pass,"Rs 1,79,05,146 ~ 1 Crore+",Rs 0 ~,"Rs 1,28,05,146","Rs 1,41,20,335","Rs 51,00,000","Rs 51,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7256
1403,Biplab Bhatta,MEDINIPUR,CPI,5,10th Pass,"Rs 1,29,97,588 ~ 1 Crore+","Rs 7,75,323 ~ 7 Lacs+","Rs 20,97,587.65","Rs 21,08,587.65","Rs 1,09,00,000","Rs 89,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7955
1404,Biplab Biswas,RANAGHAT (SC),BSP,0,Graduate,"Rs 7,56,565",Nil,"Rs 7,56,565","Rs 7,56,565",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5200
1405,Biplab Hembram,JHARGRAM (ST),IND,0,Graduate,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,"Rs 25,000","Rs 25,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7935
1406,Biplab Kumar Deb,TRIPURA WEST,BJP,0,Graduate,"Rs 4,99,23,347 ~ 4 Crore+",Rs 0 ~,"Rs 2,36,94,891.17","Rs 2,41,44,886.97","Rs 2,62,28,456","Rs 2,62,28,456",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1156
1407,Biplab Kumar Moitra,ARAMBAG (SC),CPI(M),7,10th Pass,"Rs 20,90,123","Rs 9,64,342","Rs 13,85,922","Rs 13,85,922","Rs 7,04,201","Rs 7,04,201",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7212
1408,Biplab Mitra,BALURGHAT,AITC,0,Graduate Professional,"Rs 2,07,58,532 ~ 2 Crore+","Rs 12,59,427 ~ 12 Lacs+","Rs 1,12,58,532","Rs 1,12,58,529","Rs 95,00,000","Rs 95,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1798
1409,Bipul Chandra Biswas,BASIRHAT,Mulnibasi Party of India,0,8th Pass,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~,"Rs 1,55,000","Rs 1,55,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9073
1410,Bir Singh Deogam,SINGHBHUM (ST),Right to Recall Party,0,8th Pass,"Rs 30,048",Nil,"Rs 30,048","Rs 30,048",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6255
1411,Biranchi Narayan Durga,KALAHANDI,BSP,0,10th Pass,"Rs 2,70,000 ~ 2 Lacs+",Rs 0 ~,"Rs 2,70,000","Rs 2,70,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6360
1412,Birbal Singh,MUZAFFARNAGAR,Vishal Janta Party,0,Post Graduate,"Rs 5,78,67,880 ~ 5 Crore+",Rs 0 ~,"Rs 43,67,880","Rs 36,67,880","Rs 5,35,00,000","Rs 5,35,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=888
1413,Birbalsingh,SIKAR,IND,0,Post Graduate,"Rs 1,48,11,000","Rs 8,06,000","Rs 18,11,000","Rs 18,11,000","Rs 1,30,00,000","Rs 1,30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=73
1414,Biren Bailung,LAKHIMPUR,Voters Party International,0,12th Pass,"Rs 13,11,000 ~ 13 Lacs+",Rs 0 ~,"Rs 1,11,000","Rs 1,11,000","Rs 12,00,000","Rs 12,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=265
1415,Biren Basak,DARRANG-UDALGURI,Bharatiya Gana Parishad,0,12th Pass,"Rs 68,62,500 ~ 68 Lacs+","Rs 21,87,142 ~ 21 Lacs+","Rs 18,62,500","Rs 16,62,500","Rs 50,00,000",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2754
1416,Biren Mohli,DUMKA (ST),IND,0,10th Pass,"Rs 4,98,200",Nil,"Rs 48,200","Rs 48,200","Rs 4,50,000","Rs 4,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9316
1417,Biren Puhan,BALASORE,Krupaa Party,0,Graduate,"Rs 51,96,895 ~ 51 Lacs+","Rs 4,07,033 ~ 4 Lacs+","Rs 25,96,895","Rs 25,96,895","Rs 26,00,000","Rs 26,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9407
1418,Birendra Nath Mahanta,BALURGHAT,SUCI(C),0,Graduate Professional,"Rs 56,56,021 ~ 56 Lacs+","Rs 7,31,179 ~ 7 Lacs+","Rs 12,56,021","Rs 12,68,021",Rs 0,"Rs 44,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1755
1419,Birendra Nath Manjhi,RANCHI,Abua Jharkhand Party,0,12th Pass,"Rs 49,78,754","Rs 1,24,160","Rs 24,20,754","Rs 24,20,754","Rs 25,58,000","Rs 25,58,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8704
1420,Birendra Singh,CHANDAULI,SP,3,Graduate,"Rs 18,80,17,648 ~ 18 Crore+","Rs 11,54,113 ~ 11 Lacs+","Rs 2,00,40,332","Rs 2,00,40,330","Rs 16,79,77,316","Rs 16,14,77,316",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8803
1421,Birendra Singh,FATEHPUR,IND,3,Graduate Professional,"Rs 5,32,14,884 ~ 5 Crore+","Rs 54,18,301 ~ 54 Lacs+","Rs 1,04,14,884","Rs 1,04,14,884","Rs 4,28,00,000","Rs 5,68,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7598
1422,Biresh Thakur,KANKER (ST),INC,0,Post Graduate,"Rs 1,68,69,003","Rs 15,00,000","Rs 1,07,81,263","Rs 1,07,81,263","Rs 60,87,740","Rs 60,87,740",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1933
1423,Birpal Singh Koli,NORTH EAST DELHI,IND,0,8th Pass,"Rs 2,10,000 ~ 2 Lacs+",Rs 0 ~,Nil,"Rs 2,10,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8242
1424,Birsabir Baskey,JHARGRAM (ST),Ambedkarite Party of India,0,12th Pass,"Rs 64,800 ~ 64 Thou+",Rs 0 ~,"Rs 64,800","Rs 64,800",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7936
1425,Bisan Singh,CHURU,IND,0,10th Pass,"Rs 75,61,198","Rs 11,55,000","Rs 55,61,198","Rs 55,61,198","Rs 20,00,000","Rs 20,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=396
1426,Bishambar Kumar,ROHTAK,IND,0,10th Pass,"Rs 42,000 ~ 42 Thou+",Rs 0 ~,Nil,"Rs 42,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8511
1427,Bishnu Pada Ray,ANDAMAN AND NICOBAR ISLANDS,BJP,0,Graduate,"Rs 2,74,39,170 ~ 2 Crore+","Rs 3,02,788 ~ 3 Lacs+","Rs 52,16,783","Rs 52,16,782",Nil,"Rs 2,22,22,387",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=17
1428,Bishnu Prasad Sharma,DARJEELING,IND,4,10th Pass,"Rs 76,27,219","Rs 13,31,073","Rs 21,27,219","Rs 21,27,219","Rs 55,00,000","Rs 55,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1756
1429,Bishop Dr Godfrey Noble,THOOTHUKKUDI,Aanaithinthiya Jananayaka Pathukappu Kazhagam,7,Doctorate,"Rs 17,13,68,500 ~ 17 Crore+","Rs 21,00,000 ~ 21 Lacs+","Rs 83,68,500","Rs 83,68,500",Nil,"Rs 16,30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=232
1430,Bishop Dr Godfrey Washington Noble,TIRUNELVELI,Aanaithinthiya Jananayaka Pathukappu Kazhagam,7,Doctorate,"Rs 17,13,68,500 ~ 17 Crore+","Rs 21,00,000 ~ 21 Lacs+","Rs 83,68,500","Rs 83,68,500",Nil,"Rs 16,30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1491
1431,Bishwa Vijay Mardi,SINGHBHUM (ST),Ambedkarite Party of India,0,12th Pass,"Rs 22,06,000","Rs 5,000","Rs 7,06,000","Rs 7,06,000","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6248
1432,Bishwanath Mahato,JAMSHEDPUR,IND,0,Post Graduate,"Rs 1,82,105 ~ 1 Lacs+","Rs 1,00,000 ~ 1 Lacs+","Rs 1,82,105","Rs 1,82,105",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8585
1433,Biswajit Das,MEDINIPUR,IND,0,12th Pass,"Rs 3,29,877 ~ 3 Lacs+","Rs 17,95,200 ~ 17 Lacs+","Rs 3,29,877","Rs 3,29,877",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7949
1434,Biswajit Das,BANGAON (SC),IND,0,8th Pass,"Rs 3,01,509",Nil,"Rs 3,01,509","Rs 13,01,509",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7336
1435,Biswajit Das S/O Late Balaram Das,BANGAON (SC),IND,0,12th Pass,"Rs 36,31,724 ~ 36 Lacs+",Rs 0 ~,"Rs 3,31,724","Rs 3,31,724","Rs 33,00,000","Rs 33,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7845
1436,Biswajit Das S/O Late Bijay Krishna Das,BANGAON (SC),AITC,7,10th Pass,"Rs 1,08,87,022 ~ 1 Crore+","Rs 2,54,668 ~ 2 Lacs+","Rs 85,31,422","Rs 85,31,422","Rs 23,55,600","Rs 23,55,600",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7111
1437,Biswajit Mishra,BIRBHUM,All India Arya Mahasabha,0,Graduate Professional,"Rs 42,02,359","Rs 75,000","Rs 7,52,359","Rs 8,11,099",Rs 0,"Rs 34,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6207
1438,Biswajit Ray,DHUBRI,IND,0,Graduate,"Rs 51,65,102 ~ 51 Lacs+",Rs 0 ~,"Rs 17,61,102","Rs 17,61,102","Rs 34,04,000","Rs 34,04,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4741
1439,Biswamvoir Kalita,BAHARAMPUR,IND,0,8th Pass,"Rs 15,745 ~ 15 Thou+",Rs 0 ~,"Rs 15,745","Rs 15,745",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6192
1440,Biswanath Murmu,BALURGHAT,Ambedkarite Party of India,0,Post Graduate,"Rs 3,90,000","Rs 81,000","Rs 1,40,000","Rs 1,52,000",Nil,"Rs 2,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2771
1441,Biswanath Sardar,MATHURAPUR (SC),SUCI(C),0,12th Pass,"Rs 8,10,935 ~ 8 Lacs+",Rs 0 ~,"Rs 70,935","Rs 70,935","Rs 7,40,000","Rs 7,40,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9089
1442,Bitiaya Ahirwar,KHAJURAHO,IND,0,Illiterate,"Rs 10,86,600 ~ 10 Lacs+",Rs 0 ~,"Rs 3,86,600","Rs 3,86,600","Rs 7,00,000","Rs 7,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3177
1443,Bobade Sakharam Padegaonkar,PARBHANI,IND,0,Graduate,"Rs 17,15,550","Rs 2,00,000","Rs 2,15,550","Rs 2,15,550","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1968
1444,Bobbili Srinu,VIZIANAGARAM,INC,0,Graduate,"Rs 1,89,91,100 ~ 1 Crore+","Rs 38,20,000 ~ 38 Lacs+","Rs 1,89,91,100","Rs 1,89,91,100",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6593
1445,Boby Panwar,TEHRI GARHWAL,IND,8,Graduate Professional,"Rs 1,46,581 ~ 1 Lacs+","Rs 1,60,000 ~ 1 Lacs+","Rs 46,581","Rs 46,580",Nil,"Rs 1,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=83
1446,Bochiya Bhimji Bhikha,KACHCHH (SC),Sarva Samaj Janata Party,0,Others,"Rs 4,83,979","Rs 61,456","Rs 1,13,979","Rs 1,13,979","Rs 3,70,000","Rs 3,70,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4287
1447,Bochu Raju,WARANGAL (SC),IND,0,Graduate Professional,"Rs 11,000 ~ 11 Thou+",Rs 0 ~,"Rs 11,000","Rs 11,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5635
1448,Boda Prashanth,MAHABUBABAD (ST),IND,0,Post Graduate,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,"Rs 35,000","Rs 35,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5781
1449,Bodapatla Eshwar,MEDAK,BSP,0,10th Pass,"Rs 34,95,000","Rs 10,00,000","Rs 34,95,000","Rs 34,95,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5799
1450,Boddeti Apparao,KAKINADA,IND,0,10th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,"Rs 20,000","Rs 20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6179
1451,Boddu Kranthi Kumar,ONGOLE,IND,0,Illiterate,"Rs 21,000 ~ 21 Thou+",Rs 0 ~,"Rs 21,000","Rs 22,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6823
1452,Bodhan Lal Farikar,RAIPUR,IND,0,12th Pass,"Rs 10,08,98,983",Nil,"Rs 8,98,983","Rs 8,96,983","Rs 10,00,00,000","Rs 10,00,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4147
1453,Boggula Suniithha,SECUNDERABAD,IND,0,12th Pass,"Rs 31,55,000 ~ 31 Lacs+",Rs 0 ~,"Rs 4,55,000","Rs 4,55,000","Rs 27,00,000","Rs 27,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5975
1454,Boin Durga Prasad Yadav,MALKAJGIRI,Dharma Samaj Party,0,Others,"Rs 63,51,000 ~ 63 Lacs+","Rs 51,12,000 ~ 51 Lacs+","Rs 63,51,000","Rs 63,51,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5527
1455,Bokinala Koteswara Rao,ELURU,IND,0,Post Graduate,"Rs 21,47,964",Nil,"Rs 8,45,839","Rs 8,45,899","Rs 13,02,125","Rs 13,02,125",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6115
1456,Bollam Vijay Kumar,WARANGAL (SC),IND,0,Post Graduate,"Rs 31,000 ~ 31 Thou+",Rs 0 ~,"Rs 31,000","Rs 31,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5616
1457,Bommakanti Sowmya,SECUNDERABAD,Pyramid Party of India,0,Graduate Professional,"Rs 43,50,000 ~ 43 Lacs+",Rs 0 ~,Nil,"Rs 43,50,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5992
1458,Bommala Vijay Kumar,MEDAK,IND,0,12th Pass,"Rs 1,90,000","Rs 18,000","Rs 1,90,000","Rs 1,90,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5833
1459,Bommali Kanta Rao,BERHAMPUR,Naba Bharata Nirmana Seva Party,0,Doctorate,"Rs 3,20,65,000 ~ 3 Crore+",Rs 0 ~,"Rs 1,62,00,000","Rs 37,19,000","Rs 1,58,65,000","Rs 1,50,90,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6363
1460,Bommali Tirupati Rao,SRIKAKULAM,Pyramid Party of India,0,Others,"Rs 1,20,000 ~ 1 Lacs+","Rs 42,423 ~ 42 Thou+","Rs 1,20,000","Rs 1,21,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6624
1461,Bommanaboina Vsr Murthy,RAJAHMUNDRY,IND,0,Post Graduate,"Rs 6,76,43,000","Rs 27,39,663","Rs 71,43,000","Rs 71,41,802","Rs 6,05,00,000","Rs 6,05,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6668
1462,Bommasani Mutyala Rao,GUNTUR,All Peoples Party,0,Graduate Professional,"Rs 1,15,51,000 ~ 1 Crore+",Rs 0 ~,"Rs 51,000","Rs 51,000","Rs 1,15,00,000","Rs 1,15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6139
1463,Bontha Ranga Reddy,ONGOLE,IND,0,12th Pass,"Rs 45,32,926 ~ 45 Lacs+",Rs 0 ~,"Rs 25,32,926","Rs 25,32,926","Rs 20,00,000","Rs 20,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6822
1464,Boobalan,COIMBATORE,IND,0,8th Pass,"Rs 15,500",Nil,"Rs 15,500","Rs 15,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1338
1465,Boodidha Thirupathi,PEDDAPALLE (SC),IND,0,Graduate,"Rs 11,000 ~ 11 Thou+",Rs 0 ~,"Rs 11,000","Rs 11,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5913
1466,Boominathan B,NAGAPATTINAM (SC),Desiya Makkal Sakthi Katchi,0,8th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,"Rs 20,000","Rs 20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1589
1467,Borichangar Bhavesh Dalpatrai,JUNAGADH,IND,0,Graduate Professional,"Rs 34,27,506","Rs 6,44,811","Rs 25,27,506","Rs 25,27,506","Rs 9,00,000","Rs 9,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5029
1468,Borsa Sandipbhai Shankarbhai,DADAR & NAGAR HAVELI (ST),BSP,0,12th Pass,"Rs 10,25,601 ~ 10 Lacs+",Rs 0 ~,"Rs 7,75,601","Rs 7,75,601","Rs 2,50,000",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4082
1469,Borubadra Chandrakala,SRIKAKULAM,Bharatha Chaitanya Yuvajana Party,0,Post Graduate,"Rs 95,08,000 ~ 95 Lacs+","Rs 32,58,800 ~ 32 Lacs+","Rs 41,55,000","Rs 41,55,000","Rs 53,53,000","Rs 53,53,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6619
1470,Bosco Kalamassery,CHALAKUDY,IND,2,10th Pass,"Rs 44,99,302","Rs 65,000","Rs 16,99,302.12","Rs 10,99,302.12","Rs 28,00,000","Rs 12,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3085
1471,Bosiram Siram,ARUNACHAL EAST,INC,0,Graduate,"Rs 17,44,89,335 ~ 17 Crore+","Rs 12,11,053 ~ 12 Lacs+","Rs 5,11,40,535.31","Rs 5,11,33,757.70",Rs 0,"Rs 12,33,48,800",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=710
1472,Botcha Jhansilakshmi,VISAKHAPATNAM,YSRCP,0,Doctorate,"Rs 19,76,03,661 ~ 19 Crore+","Rs 4,24,87,569 ~ 4 Crore+","Rs 8,53,67,661","Rs 8,53,74,661","Rs 11,22,36,000","Rs 11,22,36,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5129
1473,Botla Chandraiah,PEDDAPALLE (SC),IND,0,10th Pass,"Rs 58,80,000","Rs 1,00,000","Rs 16,80,000","Rs 45,000","Rs 42,00,000","Rs 42,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5953
1474,Boya Suresh,KURNOOL,IND,0,Graduate,"Rs 32,63,000 ~ 32 Lacs+",Rs 0 ~,"Rs 28,000","Rs 28,000","Rs 32,35,000",Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6788
1475,Brahma Prasad,HARDOI (SC),Lok Jan Sangharsh Party,1,Post Graduate,"Rs 53,29,000 ~ 53 Lacs+",Rs 0 ~,"Rs 2,27,000","Rs 2,18,000","Rs 51,02,000","Rs 50,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5663
1476,Brahmakshtriya Bhagvatiben Khetsinh,BHAVNAGAR,IND,0,5th Pass,"Rs 47,37,535",Nil,"Rs 44,22,535","Rs 12,65,046","Rs 3,15,000","Rs 3,15,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5134
1477,Brahmakumar,ERNAKULAM,SUCI(C),1,Graduate,"Rs 44,99,653 ~ 44 Lacs+","Rs 25,01,384 ~ 25 Lacs+","Rs 4,99,653","Rs 4,99,653","Rs 40,00,000","Rs 40,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2273
1478,Brahmananda Reddy K,NANDYAL,IND,1,10th Pass,"Rs 36,22,000 ~ 36 Lacs+","Rs 2,70,000 ~ 2 Lacs+","Rs 8,72,000","Rs 8,72,500","Rs 27,50,000","Rs 27,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6781
1479,Brajalal Debnath,TRIPURA WEST,IND,0,Graduate Professional,"Rs 58,80,000",Nil,"Rs 37,80,000","Rs 37,80,000",Nil,"Rs 21,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1158
1480,Brajendra Dutt Tripathi Alias B. D. Tripathi,FAIZABAD,Adarshwaadi Congress Party,0,Post Graduate,"Rs 2,11,450 ~ 2 Lacs+",Rs 0 ~,"Rs 2,11,450","Rs 2,11,449",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7636
1481,Brajesh Kumar Turi,PALAMU (SC),Rashtriya Samanta Dal,0,Graduate,"Rs 10,15,000 ~ 10 Lacs+",Rs 0 ~,"Rs 2,65,000","Rs 2,65,000","Rs 7,50,000","Rs 7,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6257
1482,Brajkishore Pandit,GODDA,Akhil Bhartiya Manavadhikar Vichar Manch Party,0,Post Graduate,"Rs 88,91,105","Rs 86,000","Rs 6,91,105","Rs 7,95,105","Rs 82,00,000","Rs 82,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9208
1483,Brij Bhushan Karanwal,TEHRI GARHWAL,Bhartiya Rashtriya Ekta Dal,0,Post Graduate,"Rs 7,46,10,000 ~ 7 Crore+","Rs 8,30,000 ~ 8 Lacs+","Rs 20,10,000","Rs 20,22,000","Rs 7,26,00,000","Rs 7,26,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1005
1484,Brij Mohan,JALAUN (SC),IND,0,12th Pass,"Rs 1,03,01,425 ~ 1 Crore+","Rs 4,45,675 ~ 4 Lacs+","Rs 16,01,425","Rs 62,01,425","Rs 87,00,000","Rs 72,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7533
1485,Brijabala,FARIDABAD,Peoples Party of India (Democratic),0,Illiterate,"Rs 50,74,368","Rs 9,40,000","Rs 4,74,368","Rs 11,56,368","Rs 46,00,000","Rs 46,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8430
1486,Brijendra Singh Ola,JHUNJHUNU,INC,0,Post Graduate,"Rs 16,02,84,000 ~ 16 Crore+","Rs 3,27,10,000 ~ 3 Crore+","Rs 8,47,59,000","Rs 8,47,86,629","Rs 7,55,25,000","Rs 7,55,25,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=444
1487,Brijesh,MAHARAJGANJ,Abhay Samaj Party,1,Post Graduate,"Rs 2,80,04,270 ~ 2 Crore+","Rs 8,00,000 ~ 8 Lacs+","Rs 45,04,270","Rs 45,04,261","Rs 2,35,00,000","Rs 2,70,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8775
1488,Brijesh Kumar,MACHHLISHAHR (SC),Prithviraj Janshakti Party,0,12th Pass,"Rs 5,41,500",Nil,"Rs 2,41,500","Rs 2,41,500","Rs 3,00,000","Rs 3,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8099
